Place FIPS,"Unincorporated, Non-Place FIPS",Geography Name,County FIPS,County Name,Total Population,SE:A00002. Population Density (Per Sq. Mile),Population Density (Per Sq. Mile),Area (Land),SE:A01001. Age,Under 5 Years,5 to 9 Years,10 to 14 Years,15 to 17 Years,18 to 24 Years,25 to 34 Years,35 to 44 Years,45 to 54 Years,55 to 64 Years,65 to 74 Years,75 to 84 Years,85 Years and Over,SE:A03001. Race,White Alone,Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone,Native Hawaiian and Other Pacific Islander Alone,Some Other Race Alone,Two or More Races,SE:B04001. Hispanic or Latino ,Not Hispanic or Latino:,Hispanic or Latino,SE:A12001. Educational Attainment for Population 25 Years and Over,Population 25 Years and Over:,Less than High School,High School Graduate (Includes Equivalency),Some College,Bachelor's Degree,Master's Degree,Professional School Degree,Doctorate Degree,SE:B12001. Educational Attainment for Population 25 Years and Over (Collapsed Version),Population 25 Years and Over:,Less than High School,High School Diploma,Bachelor's Degree or Better,SE:A14001. Household Income (In 2020 Inflation Adjusted Dollars),Households:,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or More",SE:A14006. Median Household Income (In 2020 Inflation Adjusted Dollars),Median Household Income (In 2020 Inflation Adjusted Dollars),SE:A14015. Median Household Income by Tenure (In 2020 Inflation Adjusted Dollars),Median Household Income Occupied Housing Units:,Owner Occupied,Renter Occupied,SE:A14024. Per Capita Income (In 2020 Inflation Adjusted Dollars),Per Capita Income (In 2020 Inflation Adjusted Dollars),SE:A10060. Tenure,Occupied Housing Units:,Owner Occupied,Renter Occupied,SE:B10060. White vs Non-White Homeowners,Owner Occupied Housing Units:,"White Alone, Not Hispanic or Latino Homeowners ",Non-White Homeowners,SE:A10035. House Value for All Owner-Occupied Housing Units,Owner-Occupied Housing Units:,"Less than $20,000","$20,000 to $49,999","$50,000 to $99,999","$100,000 to $149,999","$150,000 to $299,999","$300,000 to $499,999","$500,000 to $749,999","$750,000 to $999,999","$1,000,000 or More",SE:A13003A. Poverty Status in 2020 for Children Under 18,Population Under 18 Years of Age for Whom Poverty Status Is Determined:,Living in Poverty,At or Above Poverty Level,SE:A13003B. Poverty Status in 2020 for Population Age 18 to 64,Population Age 18 to 64 for Whom Poverty Status  Is Determined:,Living in Poverty,At or Above Poverty Level,SE:A13003C. Poverty Status in 2020 for Population Age 65 and Over,Population Age 65 and Over for Whom Poverty  Status Is Determined:,Living in Poverty,At or Above Poverty Level,Rural Capacity (Headwaters Index),Social Vulnerability (CDC Index),Percent of Land in 500-Year Floodplain,Percent of Land in 100-Year Floodplain,Total Percent of Land at Some Level of Flood Risk
,371459046499999,Bushy Fork township,145,Person,2336,,51.38028,45.4649149,,243,233,115,62,91,347,314,208,387,258,41,37,,1715,414,1,60,0,0,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,823,652,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63794245,0.00602075,2.41613313,2.42215387
,,,,,,,,,,10.40%,9.97%,4.92%,2.65%,3.90%,14.85%,13.44%,8.90%,16.57%,11.04%,1.76%,1.58%,,73.42%,17.72%,0.04%,2.57%,0.00%,0.00%,6.25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.22%,20.78%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,371039351299999,Township 6,103,Jones,638,,16.13345,39.54517164,,0,0,0,36,31,90,56,124,120,122,39,20,,512,126,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,274,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85220463,0,8.52998327,8.52998327
,,,,,,,,,,0.00%,0.00%,0.00%,5.64%,4.86%,14.11%,8.78%,19.44%,18.81%,19.12%,6.11%,3.13%,,80.25%,19.75%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.35%,19.65%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,371039342099999,Township 4,103,Jones,613,,14.1643,43.2778036,,43,3,35,16,12,71,71,170,72,65,49,6,,590,23,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303,217,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81614857,0,27.8155283,27.8155283
,,,,,,,,,,7.01%,0.49%,5.71%,2.61%,1.96%,11.58%,11.58%,27.73%,11.75%,10.60%,7.99%,0.98%,,96.25%,3.75%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.62%,28.38%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,371219263299999,Red Hill township,121,Mitchell,277,,30.25613,9.155168286,,0,0,13,26,8,58,14,0,84,40,17,17,,277,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,158,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35213251,0,4.08374319,4.08374319
,,,,,,,,,,0.00%,0.00%,4.69%,9.39%,2.89%,20.94%,5.05%,0.00%,30.32%,14.44%,6.14%,6.14%,,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.86%,8.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,370939003699999,Allendale township,93,Hoke,629,,26.54062,23.69952293,,32,17,42,50,100,88,54,67,113,57,9,0,,59,33,467,0,0,70,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,112,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83269404,0.00038976,9.1744561,9.17484586
,,,,,,,,,,5.09%,2.70%,6.68%,7.95%,15.90%,13.99%,8.59%,10.65%,17.97%,9.06%,1.43%,0.00%,,9.38%,5.25%,74.24%,0.00%,0.00%,11.13%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.67%,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,370319058899999,Cedar Island township,31,Carteret,235,,10.68183,21.99997066,,1,20,0,0,0,2,0,65,51,59,37,0,,235,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,109,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00763378,0.41178156,61.6879791,62.0997606
,,,,,,,,,,0.43%,8.51%,0.00%,0.00%,0.00%,0.85%,0.00%,27.66%,21.70%,25.11%,15.74%,0.00%,,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.55%,31.45%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,371939309299999,Stanton township,193,Wilkes,459,,28.63706,16.02817928,,36,0,0,19,28,22,83,66,25,143,37,0,,459,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243,221,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27336701,0,4.36232779,4.36232779
,,,,,,,,,,7.84%,0.00%,0.00%,4.14%,6.10%,4.79%,18.08%,14.38%,5.45%,31.15%,8.06%,0.00%,,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.95%,9.05%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,371939178899999,Lewis Fork township,193,Wilkes,1386,,59.15391,23.43040508,,53,14,90,98,0,153,179,107,181,180,68,263,,1268,0,0,0,118,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,804,712,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34171491,0.25546644,7.22938651,7.48485295
,,,,,,,,,,3.82%,1.01%,6.49%,7.07%,0.00%,11.04%,12.91%,7.72%,13.06%,12.99%,4.91%,18.98%,,91.49%,0.00%,0.00%,0.00%,8.51%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.56%,11.44%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,371459004099999,Allensville township,145,Person,2767,,57.3899,48.21405813,,131,109,241,111,159,167,330,446,581,390,79,23,,1786,981,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1046,763,283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49611708,0.0010001,2.76775137,2.76875148
,,,,,,,,,,4.73%,3.94%,8.71%,4.01%,5.75%,6.04%,11.93%,16.12%,21.00%,14.09%,2.86%,0.83%,,64.55%,35.45%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.94%,27.06%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,370739142099999,Haslett township,73,Gates,2500,,81.12112,30.81811344,,66,164,246,96,195,295,303,440,342,244,57,52,,1692,502,45,173,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,829,684,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51742443,0,12.1437615,12.1437615
,,,,,,,,,,2.64%,6.56%,9.84%,3.84%,7.80%,11.80%,12.12%,17.60%,13.68%,9.76%,2.28%,2.08%,,67.68%,20.08%,1.80%,6.92%,0.00%,0.00%,3.52%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.51%,17.49%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,371139220499999,Nantahala township,113,Macon,618,,8.522978,72.50987109,,8,7,7,0,14,97,24,63,49,165,157,27,,548,0,0,0,0,0,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396,242,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68845931,0,3.81442293,3.81442293
,,,,,,,,,,1.29%,1.13%,1.13%,0.00%,2.27%,15.70%,3.88%,10.19%,7.93%,26.70%,25.40%,4.37%,,88.67%,0.00%,0.00%,0.00%,0.00%,0.00%,11.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.11%,38.89%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,370439146699999,Hiawassee township,43,Clay,1499,,,,,79,124,9,0,0,66,96,211,254,537,115,8,,1436,45,0,0,0,0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,754,654,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24050664,0,27.6269839,27.6269839
,,,,,,,,,,5.27%,8.27%,0.60%,0.00%,0.00%,4.40%,6.40%,14.08%,16.94%,35.82%,7.67%,0.53%,,95.80%,3.00%,0.00%,0.00%,0.00%,0.00%,1.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.74%,13.26%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,371139052499999,Cartoogechaye township,113,Macon,2896,,38.47886,75.26211241,,46,208,322,136,85,213,502,195,332,386,303,168,,2672,90,24,4,0,3,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1274,1072,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67570694,0.06603904,2.39087384,2.45691288
,,,,,,,,,,1.59%,7.18%,11.12%,4.70%,2.94%,7.35%,17.33%,6.73%,11.46%,13.33%,10.46%,5.80%,,92.27%,3.11%,0.83%,0.14%,0.00%,0.10%,3.56%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.14%,15.86%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,371139297499999,Smithbridge township,113,Macon,3455,,46.70296,73.97817133,,200,235,220,76,128,500,436,390,374,661,220,15,,3072,43,12,22,0,306,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1428,958,470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65115731,0.10931224,2.92591825,3.03523049
,,,,,,,,,,5.79%,6.80%,6.37%,2.20%,3.70%,14.47%,12.62%,11.29%,10.82%,19.13%,6.37%,0.43%,,88.91%,1.24%,0.35%,0.64%,0.00%,8.86%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.09%,32.91%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,371139044899999,Burningtown township,113,Macon,546,,12.56195,43.46459984,,44,41,0,25,9,43,40,65,92,125,44,18,,524,0,1,1,0,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,192,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6887393,0,0.89758914,0.89758914
,,,,,,,,,,8.06%,7.51%,0.00%,4.58%,1.65%,7.88%,7.33%,11.90%,16.85%,22.89%,8.06%,3.30%,,95.97%,0.00%,0.18%,0.18%,0.00%,0.00%,3.66%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.67%,12.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,371139079299999,Cowee township,113,Macon,2832,,62.03564,45.65117367,,270,21,216,114,154,377,305,269,358,466,244,38,,2750,0,14,53,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1083,957,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23983986,0.08103623,3.50132575,3.58236198
,,,,,,,,,,9.53%,0.74%,7.63%,4.03%,5.44%,13.31%,10.77%,9.50%,12.64%,16.45%,8.62%,1.34%,,97.10%,0.00%,0.49%,1.87%,0.00%,0.00%,0.53%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.37%,11.63%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,371999080499999,Crabtree township,199,Yancey,3419,,116.4335,29.36439242,,225,215,251,138,335,293,530,537,385,368,101,41,,3246,0,53,37,0,0,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1299,878,421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68967821,0.27429244,3.13340037,3.40769281
,,,,,,,,,,6.58%,6.29%,7.34%,4.04%,9.80%,8.57%,15.50%,15.71%,11.26%,10.76%,2.95%,1.20%,,94.94%,0.00%,1.55%,1.08%,0.00%,0.00%,2.43%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.59%,32.41%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,371999261699999,Ramseytown township,199,Yancey,559,,15.88376,35.19318854,,6,0,22,12,42,20,22,58,248,89,14,26,,549,0,6,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297,271,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33101613,0.42779914,2.75113095,3.17893009
,,,,,,,,,,1.07%,0.00%,3.94%,2.15%,7.51%,3.58%,3.94%,10.38%,44.36%,15.92%,2.50%,4.65%,,98.21%,0.00%,1.07%,0.72%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.25%,8.75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,371999305699999,South Toe township,199,Yancey,1997,,33.02655,60.46651027,,46,96,180,43,100,150,255,251,227,526,90,33,,1890,0,0,1,0,97,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,871,700,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59442127,0.39531819,2.36610487,2.76142306
,,,,,,,,,,2.30%,4.81%,9.01%,2.15%,5.01%,7.51%,12.77%,12.57%,11.37%,26.34%,4.51%,1.65%,,94.64%,0.00%,0.00%,0.05%,0.00%,4.86%,0.45%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.37%,19.63%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,370279405299999,Wilson Creek township,27,Caldwell,67,,3.825615,17.51352516,,0,0,0,0,0,0,0,0,31,17,19,0,,56,0,0,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,47,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35007735,0,4.12712699,4.12712699
,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,46.27%,25.37%,28.36%,0.00%,,83.58%,0.00%,0.00%,0.00%,0.00%,0.00%,16.42%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,370399154499999,Hothouse township,39,Cherokee,1604,,55.29268,29.009268,,24,52,54,61,74,27,179,117,477,337,182,20,,1556,0,0,0,0,0,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737,681,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20995963,0,0.61670381,0.61670381
,,,,,,,,,,1.50%,3.24%,3.37%,3.80%,4.61%,1.68%,11.16%,7.29%,29.74%,21.01%,11.35%,1.25%,,97.01%,0.00%,0.00%,0.00%,0.00%,0.00%,2.99%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.40%,7.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,371999040099999,Brush Creek township,199,Yancey,414,,33.93144,12.20107429,,17,0,4,16,20,21,37,82,74,59,72,12,,374,0,1,2,0,35,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222,182,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78414828,0,2.82181491,2.82181491
,,,,,,,,,,4.11%,0.00%,0.97%,3.86%,4.83%,5.07%,8.94%,19.81%,17.87%,14.25%,17.39%,2.90%,,90.34%,0.00%,0.24%,0.48%,0.00%,8.45%,0.48%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.98%,18.02%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,371999049299999,Cane River township,199,Yancey,1784,,70.17944,25.4205533,,40,120,127,121,186,184,177,296,185,95,220,33,,1738,22,11,0,0,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712,477,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28298772,0.65103475,3.17765325,3.828688
,,,,,,,,,,2.24%,6.73%,7.12%,6.78%,10.43%,10.31%,9.92%,16.59%,10.37%,5.33%,12.33%,1.85%,,97.42%,1.23%,0.62%,0.00%,0.00%,0.00%,0.73%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.99%,33.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,371999098099999,Egypt township,199,Yancey,754,,32.26402,23.36968357,,0,6,58,0,53,39,27,137,263,131,32,8,,738,0,5,0,0,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392,380,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28259533,0.20847458,1.17380416,1.38227874
,,,,,,,,,,0.00%,0.80%,7.69%,0.00%,7.03%,5.17%,3.58%,18.17%,34.88%,17.37%,4.24%,1.06%,,97.88%,0.00%,0.66%,0.00%,0.00%,0.13%,1.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.94%,3.06%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,371999131299999,Green Mountain township,199,Yancey,426,,35.90723,11.86390516,,28,15,15,35,0,38,32,0,125,40,59,39,,419,0,0,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218,150,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75076844,0,3.49976924,3.49976924
,,,,,,,,,,6.57%,3.52%,3.52%,8.22%,0.00%,8.92%,7.51%,0.00%,29.34%,9.39%,13.85%,9.15%,,98.36%,0.00%,0.00%,0.00%,0.00%,0.00%,1.64%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.81%,31.19%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,371779136099999,Gum Neck township,177,Tyrrell,176,,1.0136,173.6385003,,0,19,19,10,0,0,21,12,53,23,7,12,,140,36,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,84,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70284176,9.8555563,73.965379,83.8209353
,,,,,,,,,,0.00%,10.80%,10.80%,5.68%,0.00%,0.00%,11.93%,6.82%,30.11%,13.07%,3.98%,6.82%,,79.55%,20.45%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,371579256899999,Price township,157,Rockingham,1746,,69.66792,25.06174855,,90,80,178,110,30,147,241,256,338,145,100,31,,1726,20,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,709,586,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52373337,0.0904001,2.23754892,2.32794901
,,,,,,,,,,5.15%,4.58%,10.19%,6.30%,1.72%,8.42%,13.80%,14.66%,19.36%,8.30%,5.73%,1.78%,,98.85%,1.15%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.65%,17.35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,371519071699999,Coleridge township,151,Randolph,3831,,78.54502,48.77457347,,320,257,160,45,288,625,425,349,857,267,183,55,,3254,168,0,0,0,0,409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1366,1118,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.40083633,0.09892187,4.11431375,4.21323562
,,,,,,,,,,8.35%,6.71%,4.18%,1.17%,7.52%,16.31%,11.09%,9.11%,22.37%,6.97%,4.78%,1.44%,,84.94%,4.39%,0.00%,0.00%,0.00%,0.00%,10.68%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.84%,18.16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,371019023299999,Bentonville township,101,Johnston,1590,,29.56482,53.78013489,,51,73,111,50,148,44,245,205,404,109,116,34,,1564,26,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630,583,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07958121,0.52066622,43.982902,44.5035682
,,,,,,,,,,3.21%,4.59%,6.98%,3.14%,9.31%,2.77%,15.41%,12.89%,25.41%,6.86%,7.30%,2.14%,,98.36%,1.64%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.54%,7.46%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,371559096099999,East Howellsville township,155,Robeson,2864,,76.02641,37.67111817,,271,212,226,80,185,322,330,311,382,344,180,21,,1568,439,538,0,0,264,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,984,792,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56730454,0,21.4339503,21.4339503
,,,,,,,,,,9.46%,7.40%,7.89%,2.79%,6.46%,11.24%,11.52%,10.86%,13.34%,12.01%,6.28%,0.73%,,54.75%,15.33%,18.78%,0.00%,0.00%,9.22%,1.92%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.49%,19.51%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,371599286099999,Scotch Irish township,159,Rowan,1666,,47.19953,35.29696354,,53,157,96,39,143,256,103,392,229,101,85,12,,1565,101,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660,533,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59784707,0.00014996,7.83880033,7.83895028
,,,,,,,,,,3.18%,9.42%,5.76%,2.34%,8.58%,15.37%,6.18%,23.53%,13.75%,6.06%,5.10%,0.72%,,93.94%,6.06%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.76%,19.24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,370099144899999,Helton township,9,Ashe,737,,40.02163,18.41504439,,7,25,56,38,35,17,137,97,125,173,27,0,,737,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308,237,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4535752,0.56194651,3.56450206,4.12644857
,,,,,,,,,,0.95%,3.39%,7.60%,5.16%,4.75%,2.31%,18.59%,13.16%,16.96%,23.47%,3.66%,0.00%,,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.95%,23.05%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,370099156899999,Hurricane township,9,Ashe,123,,8.897769,13.8236903,,22,0,0,0,0,0,27,0,36,31,7,0,,119,0,0,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,50,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34680491,0,1.49871749,1.49871749
,,,,,,,,,,17.89%,0.00%,0.00%,0.00%,0.00%,0.00%,21.95%,0.00%,29.27%,25.20%,5.69%,0.00%,,96.75%,0.00%,0.00%,0.00%,3.25%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.94%,35.06%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,371159356899999,Township 7,115,Madison,1666,,44.73017,37.24555635,,45,57,92,50,59,292,156,141,228,385,66,95,,1414,2,18,72,0,0,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,651,620,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6156606,0,1.74463818,1.74463818
