Place FIPS,"Unincorporated, Non-Place FIPS",Geography Name,County FIPS,County Name
3711640.00,,Chadbourn town,47,Columbus
3711800.00,,Chapel Hill town,"135, 63, 37","Orange, Durham, Chatham"
3712000.00,,Charlotte city,119,Mecklenburg
3712140.00,,Cherokee CDP,"173, 99","Swain, Jackson"
3712186.00,,Cherry Branch CDP,49,Craven
3712340.00,,Cherryville city,71,Gaston
3712460.00,,Chimney Rock Village village,161,Rutherford
3712480.00,,China Grove town,159,Rowan
3712520.00,,Chinquapin CDP,61,Duplin
3712580.00,,Chocowinity town,13,Beaufort
3712590.00,,Chowan Beach CDP,41,Chowan
3712720.00,,Claremont city,35,Catawba
3712780.00,,Clarkton town,17,Bladen
3712860.00,,Clayton town,101,Johnston
3712960.00,,Clemmons village,67,Forsyth
3713000.00,,Cleveland town,159,Rowan
3713100.00,,Cliffside CDP,161,Rutherford
3713240.00,,Clinton city,163,Sampson
3713280.00,,Clyde town,87,Haywood
3713360.00,,Coats town,85,Harnett
3713460.00,,Cofield village,91,Hertford
3713500.00,,Coinjock CDP,53,Currituck
3713560.00,,Colerain town,15,Bertie
3713940.00,,Columbia town,177,Tyrrell
3713980.00,,Columbus town,149,Polk
3714060.00,,Como town,91,Hertford
3714100.00,,Concord city,25,Cabarrus
3714200.00,,Conetoe town,65,Edgecombe
3714280.00,,Connelly Springs town,23,Burke
3714340.00,,Conover city,35,Catawba
3714400.00,,Conway town,131,Northampton
3714460.00,,Cooleemee town,59,Davie
3714600.00,,Cordova CDP,153,Richmond
3714700.00,,Cornelius town,119,Mecklenburg
3715020.00,,Cove City town,49,Craven
3715040.00,,Cove Creek CDP,189,Watauga
3715260.00,,Cramerton town,71,Gaston
3715320.00,,Creedmoor city,77,Granville
3715420.00,,Creswell town,187,Washington
3715440.00,,Cricket CDP,193,Wilkes
3715580.00,,Crossnore town,11,Avery
3715640.00,,Crouse CDP,109,Lincoln
3715880.00,,Cullowhee CDP,99,Jackson
3716084.00,,Cypress Landing CDP,13,Beaufort
3716180.00,,Dallas town,71,Gaston
3716220.00,,Dana CDP,89,Henderson
3716240.00,,Danbury town,169,Stokes
3716400.00,,Davidson town,"119, 97","Mecklenburg, Iredell"
3716480.00,,Davis CDP,31,Carteret
3716720.00,,Deep Run CDP,107,Lenoir
3716730.00,,Deercroft CDP,165,Scotland
3716780.00,,Delco CDP,47,Columbus
3716820.00,,Dellview town,71,Gaston
3716860.00,,Delway CDP,163,Sampson
3716980.00,,Denton town,57,Davidson
3717000.00,,Denver CDP,109,Lincoln
3717180.00,,Dillsboro town,99,Jackson
3717325.00,,Dobbins Heights town,153,Richmond
3717340.00,,Dobson town,171,Surry
